layer_id,height_index,point_index,x,y,z
scene_3.1_y01,1,1,99.77354272,3.823653726,-350.404226494
scene_3.1_y01,1,2,103.362325957,3.823653726,-350.404226494
scene_3.1_y01,1,3,106.951109195,3.823653726,-350.404226494
scene_3.1_y01,1,4,99.77354272,3.823653726,-347.284166774
scene_3.1_y01,1,5,103.362325957,3.823653726,-347.284166774
scene_3.1_y01,1,6,106.951109195,3.823653726,-347.284166774
scene_3.1_y01,1,7,110.539892433,3.823653726,-347.284166774
scene_3.1_y01,1,8,114.12867567,3.823653726,-347.284166774
scene_3.1_y01,1,9,117.717458908,3.823653726,-347.284166774
scene_3.1_y01,1,10,121.306242146,3.823653726,-347.284166774
scene_3.1_y01,1,11,124.895025383,3.823653726,-347.284166774
scene_3.1_y01,1,12,128.483808621,3.823653726,-347.284166774
scene_3.1_y01,1,13,132.072591858,3.823653726,-347.284166774
scene_3.1_y01,1,14,99.77354272,3.823653726,-344.164107054
scene_3.1_y01,1,15,103.362325957,3.823653726,-344.164107054
scene_3.1_y01,1,16,106.951109195,3.823653726,-344.164107054
scene_3.1_y01,1,17,110.539892433,3.823653726,-344.164107054
scene_3.1_y01,1,18,114.12867567,3.823653726,-344.164107054
scene_3.1_y01,1,19,117.717458908,3.823653726,-344.164107054
scene_3.1_y01,1,20,121.306242146,3.823653726,-344.164107054
scene_3.1_y01,1,21,124.895025383,3.823653726,-344.164107054
scene_3.1_y01,1,22,128.483808621,3.823653726,-344.164107054
scene_3.1_y01,1,23,132.072591858,3.823653726,-344.164107054
scene_3.1_y01,1,24,99.77354272,3.823653726,-341.044047334
scene_3.1_y01,1,25,103.362325957,3.823653726,-341.044047334
scene_3.1_y01,1,26,106.951109195,3.823653726,-341.044047334
scene_3.1_y01,1,27,110.539892433,3.823653726,-341.044047334
scene_3.1_y01,1,28,114.12867567,3.823653726,-341.044047334
scene_3.1_y01,1,29,117.717458908,3.823653726,-341.044047334
scene_3.1_y01,1,30,121.306242146,3.823653726,-341.044047334
scene_3.1_y01,1,31,124.895025383,3.823653726,-341.044047334
scene_3.1_y01,1,32,128.483808621,3.823653726,-341.044047334
scene_3.1_y01,1,33,132.072591858,3.823653726,-341.044047334
scene_3.1_y01,1,34,103.362325957,3.823653726,-337.923987615
scene_3.1_y01,1,35,106.951109195,3.823653726,-337.923987615
scene_3.1_y01,1,36,110.539892433,3.823653726,-337.923987615
scene_3.1_y01,1,37,114.12867567,3.823653726,-337.923987615
scene_3.1_y01,1,38,117.717458908,3.823653726,-337.923987615
scene_3.1_y01,1,39,121.306242146,3.823653726,-337.923987615
scene_3.1_y01,1,40,124.895025383,3.823653726,-337.923987615
scene_3.1_y01,1,41,128.483808621,3.823653726,-337.923987615
scene_3.1_y01,1,42,132.072591858,3.823653726,-337.923987615
scene_3.1_y01,1,43,110.539892433,3.823653726,-334.803927895
scene_3.1_y01,1,44,114.12867567,3.823653726,-334.803927895
scene_3.1_y01,1,45,117.717458908,3.823653726,-334.803927895
scene_3.1_y01,1,46,121.306242146,3.823653726,-334.803927895
scene_3.1_y01,1,47,124.895025383,3.823653726,-334.803927895
scene_3.1_y01,1,48,128.483808621,3.823653726,-334.803927895
scene_3.1_y01,1,49,132.072591858,3.823653726,-334.803927895
scene_3.1_y02,2,1,99.77354272,7.260306399,-350.404226494
scene_3.1_y02,2,2,103.362325957,7.260306399,-350.404226494
scene_3.1_y02,2,3,106.951109195,7.260306399,-350.404226494
scene_3.1_y02,2,4,99.77354272,7.260306399,-347.284166774
scene_3.1_y02,2,5,103.362325957,7.260306399,-347.284166774
scene_3.1_y02,2,6,106.951109195,7.260306399,-347.284166774
scene_3.1_y02,2,7,110.539892433,7.260306399,-347.284166774
scene_3.1_y02,2,8,114.12867567,7.260306399,-347.284166774
scene_3.1_y02,2,9,117.717458908,7.260306399,-347.284166774
scene_3.1_y02,2,10,121.306242146,7.260306399,-347.284166774
scene_3.1_y02,2,11,124.895025383,7.260306399,-347.284166774
scene_3.1_y02,2,12,128.483808621,7.260306399,-347.284166774
scene_3.1_y02,2,13,132.072591858,7.260306399,-347.284166774
scene_3.1_y02,2,14,99.77354272,7.260306399,-344.164107054
scene_3.1_y02,2,15,103.362325957,7.260306399,-344.164107054
scene_3.1_y02,2,16,106.951109195,7.260306399,-344.164107054
scene_3.1_y02,2,17,110.539892433,7.260306399,-344.164107054
scene_3.1_y02,2,18,114.12867567,7.260306399,-344.164107054
